segment_name,time_second,bitrate_kbps,resolution
ai_seg_8_720p.mp4,1,1646.78,720p
ai_seg_9_1080p.mp4,0,1542.47,1080p
ai_seg_9_1080p.mp4,0,2823.19,1080p
ai_seg_9_360p.mp4,0,300.28,360p
ai_seg_9_360p.mp4,0,567.87,360p
ai_seg_9_480p.mp4,0,470.23,480p
ai_seg_9_480p.mp4,0,896.14,480p
ai_seg_9_720p.mp4,0,804.99,720p
ai_seg_9_720p.mp4,0,1527.42,720p
ai_seg_9_1080p.mp4,1,1459.3,1080p
ai_seg_9_1080p.mp4,1,2353.56,1080p
ai_seg_9_360p.mp4,1,295.3,360p
ai_seg_9_360p.mp4,1,454.88,360p
ai_seg_9_480p.mp4,1,447.24,480p
ai_seg_9_480p.mp4,1,746.06,480p
ai_seg_9_720p.mp4,1,776.88,720p
ai_seg_9_720p.mp4,1,1218.09,720p
ai_seg_10_1080p.mp4,0,1379.53,1080p
ai_seg_10_1080p.mp4,0,2088.29,1080p
ai_seg_10_360p.mp4,0,285.27,360p
ai_seg_10_360p.mp4,0,461.0,360p
ai_seg_10_480p.mp4,0,437.98,480p
ai_seg_10_480p.mp4,0,678.18,480p
ai_seg_10_720p.mp4,0,762.53,720p
ai_seg_10_720p.mp4,0,1130.16,720p
ai_seg_10_1080p.mp4,1,1241.66,1080p
ai_seg_10_1080p.mp4,1,1877.98,1080p
ai_seg_10_360p.mp4,1,260.91,360p
ai_seg_10_360p.mp4,1,403.66,360p
ai_seg_10_480p.mp4,1,395.49,480p
ai_seg_10_480p.mp4,1,588.5,480p
ai_seg_10_720p.mp4,1,661.14,720p
ai_seg_10_720p.mp4,1,997.69,720p
ai_seg_11_1080p.mp4,0,1363.11,1080p
ai_seg_11_1080p.mp4,0,2214.04,1080p
ai_seg_11_360p.mp4,0,269.85,360p
ai_seg_11_360p.mp4,0,457.3,360p
ai_seg_11_480p.mp4,0,411.7,480p
ai_seg_11_480p.mp4,0,683.06,480p
ai_seg_11_720p.mp4,0,706.55,720p
ai_seg_11_720p.mp4,0,1163.95,720p
ai_seg_11_1080p.mp4,1,1219.74,1080p
ai_seg_11_1080p.mp4,1,2153.02,1080p
ai_seg_11_360p.mp4,1,217.08,360p
ai_seg_11_360p.mp4,1,399.59,360p
ai_seg_11_480p.mp4,1,346.97,480p
ai_seg_11_480p.mp4,1,599.21,480p
ai_seg_11_720p.mp4,1,606.54,720p
ai_seg_11_720p.mp4,1,1054.3,720p
ai_seg_12_1080p.mp4,0,1053.28,1080p
ai_seg_12_1080p.mp4,0,1991.88,1080p
ai_seg_12_360p.mp4,0,187.66,360p
ai_seg_12_360p.mp4,0,354.21,360p
ai_seg_12_480p.mp4,0,293.53,480p
ai_seg_12_480p.mp4,0,544.99,480p
ai_seg_12_720p.mp4,0,522.74,720p
ai_seg_12_720p.mp4,0,1016.02,720p
ai_seg_12_1080p.mp4,1,806.43,1080p
ai_seg_12_1080p.mp4,1,1609.28,1080p
ai_seg_12_360p.mp4,1,128.1,360p
ai_seg_12_360p.mp4,1,257.4,360p
ai_seg_12_480p.mp4,1,217.51,480p
ai_seg_12_480p.mp4,1,404.5,480p
ai_seg_12_720p.mp4,1,393.08,720p
ai_seg_12_720p.mp4,1,811.45,720p
ai_seg_13_1080p.mp4,0,1266.3,1080p
ai_seg_13_1080p.mp4,0,2356.45,1080p
ai_seg_13_360p.mp4,0,220.17,360p
ai_seg_13_360p.mp4,0,421.66,360p
ai_seg_13_480p.mp4,0,348.5,480p
ai_seg_13_480p.mp4,0,643.73,480p
ai_seg_13_720p.mp4,0,614.11,720p
ai_seg_13_720p.mp4,0,1168.77,720p
ai_seg_13_1080p.mp4,1,1163.27,1080p
ai_seg_13_1080p.mp4,1,2223.34,1080p
ai_seg_13_360p.mp4,1,200.46,360p
ai_seg_13_360p.mp4,1,389.58,360p
ai_seg_13_480p.mp4,1,316.54,480p
ai_seg_13_480p.mp4,1,594.68,480p
ai_seg_13_720p.mp4,1,569.81,720p
ai_seg_13_720p.mp4,1,1112.07,720p
ai_seg_14_1080p.mp4,0,955.92,1080p
ai_seg_14_1080p.mp4,0,1839.33,1080p
ai_seg_14_360p.mp4,0,173.73,360p
ai_seg_14_360p.mp4,0,331.5,360p
ai_seg_14_480p.mp4,0,270.95,480p
ai_seg_14_480p.mp4,0,509.71,480p
ai_seg_14_720p.mp4,0,485.1,720p
ai_seg_14_720p.mp4,0,954.75,720p
ai_seg_14_1080p.mp4,1,1169.05,1080p
ai_seg_14_1080p.mp4,1,2483.91,1080p
ai_seg_14_360p.mp4,1,245.79,360p
ai_seg_14_360p.mp4,1,472.97,360p
ai_seg_14_480p.mp4,1,382.7,480p
ai_seg_14_480p.mp4,1,719.42,480p
ai_seg_14_720p.mp4,1,649.55,720p
ai_seg_14_720p.mp4,1,1374.26,720p
ai_seg_15_1080p.mp4,0,1012.63,1080p
ai_seg_15_1080p.mp4,0,2751.69,1080p
ai_seg_15_360p.mp4,0,204.61,360p
ai_seg_15_360p.mp4,0,593.55,360p
ai_seg_15_480p.mp4,0,313.18,480p
ai_seg_15_480p.mp4,0,861.02,480p
ai_seg_15_720p.mp4,0,554.21,720p
ai_seg_15_720p.mp4,0,1474.02,720p
ai_seg_15_1080p.mp4,1,1018.36,1080p
ai_seg_15_1080p.mp4,1,2690.67,1080p
ai_seg_15_360p.mp4,1,193.62,360p
ai_seg_15_360p.mp4,1,501.6,360p
ai_seg_15_480p.mp4,1,311.35,480p
ai_seg_15_480p.mp4,1,772.78,480p
ai_seg_15_720p.mp4,1,537.7,720p
ai_seg_15_720p.mp4,1,1457.99,720p
ai_seg_16_1080p.mp4,0,1096.95,1080p
ai_seg_16_1080p.mp4,0,2985.52,1080p
ai_seg_16_360p.mp4,0,215.88,360p
ai_seg_16_360p.mp4,0,603.26,360p
ai_seg_16_480p.mp4,0,348.36,480p
ai_seg_16_480p.mp4,0,920.26,480p
ai_seg_16_720p.mp4,0,604.35,720p
ai_seg_16_720p.mp4,0,1676.54,720p
ai_seg_16_1080p.mp4,1,944.25,1080p
ai_seg_16_1080p.mp4,1,2514.08,1080p
ai_seg_16_360p.mp4,1,186.62,360p
ai_seg_16_360p.mp4,1,516.76,360p
ai_seg_16_480p.mp4,1,286.74,480p
ai_seg_16_480p.mp4,1,718.9,480p
ai_seg_16_720p.mp4,1,497.42,720p
ai_seg_16_720p.mp4,1,1304.57,720p
ai_seg_17_1080p.mp4,0,708.47,1080p
ai_seg_17_1080p.mp4,0,2159.21,1080p
ai_seg_17_360p.mp4,0,147.09,360p
ai_seg_17_360p.mp4,0,466.22,360p
ai_seg_17_480p.mp4,0,231.74,480p
ai_seg_17_480p.mp4,0,660.62,480p
ai_seg_17_720p.mp4,0,402.1,720p
ai_seg_17_720p.mp4,0,1169.18,720p
ai_seg_17_1080p.mp4,1,726.03,1080p
ai_seg_17_1080p.mp4,1,2308.94,1080p
ai_seg_17_360p.mp4,1,144.14,360p
ai_seg_17_360p.mp4,1,428.93,360p
ai_seg_17_480p.mp4,1,223.3,480p
ai_seg_17_480p.mp4,1,632.66,480p
ai_seg_17_720p.mp4,1,384.5,720p
ai_seg_17_720p.mp4,1,1198.34,720p
ai_seg_18_1080p.mp4,0,1325.17,1080p
ai_seg_18_1080p.mp4,0,2859.19,1080p
ai_seg_18_360p.mp4,0,261.7,360p
ai_seg_18_360p.mp4,0,514.4,360p
ai_seg_18_480p.mp4,0,380.66,480p
ai_seg_18_480p.mp4,0,801.05,480p
ai_seg_18_720p.mp4,0,737.62,720p
ai_seg_18_720p.mp4,0,1630.31,720p
ai_seg_18_1080p.mp4,1,1318.5,1080p
ai_seg_18_1080p.mp4,1,2357.45,1080p
ai_seg_18_360p.mp4,1,223.27,360p
ai_seg_18_360p.mp4,1,415.18,360p
ai_seg_18_480p.mp4,1,385.59,480p
ai_seg_18_480p.mp4,1,704.13,480p
ai_seg_18_720p.mp4,1,749.91,720p
