[AI인코딩] segment_8 720p: CRF=28, maxrate=1043999.9999999998
[AI인코딩] segment_8 1080p: CRF=28, maxrate=1043999.9999999998
[AI인코딩] segment_9 360p: CRF=27, maxrate=1414000.0
[AI인코딩] segment_9 480p: CRF=27, maxrate=1414000.0
[AI인코딩] segment_9 720p: CRF=27, maxrate=1414000.0
[AI인코딩] segment_9 1080p: CRF=27, maxrate=1414000.0
[AI인코딩] segment_10 360p: CRF=29, maxrate=915999.9999999999
[AI인코딩] segment_10 480p: CRF=29, maxrate=915999.9999999999
[AI인코딩] segment_10 720p: CRF=29, maxrate=915999.9999999999
[AI인코딩] segment_10 1080p: CRF=29, maxrate=915999.9999999999
[AI인코딩] segment_11 360p: CRF=27, maxrate=930000.0
[AI인코딩] segment_11 480p: CRF=27, maxrate=930000.0
[AI인코딩] segment_11 720p: CRF=27, maxrate=930000.0
[AI인코딩] segment_11 1080p: CRF=27, maxrate=930000.0
[AI인코딩] segment_12 360p: CRF=28, maxrate=885999.9999999998
[AI인코딩] segment_12 480p: CRF=28, maxrate=885999.9999999998
[AI인코딩] segment_12 720p: CRF=28, maxrate=885999.9999999998
[AI인코딩] segment_12 1080p: CRF=28, maxrate=885999.9999999998
[AI인코딩] segment_13 360p: CRF=28, maxrate=920999.9999999998
[AI인코딩] segment_13 480p: CRF=28, maxrate=920999.9999999998
[AI인코딩] segment_13 720p: CRF=28, maxrate=920999.9999999998
[AI인코딩] segment_13 1080p: CRF=28, maxrate=920999.9999999998
[AI인코딩] segment_14 360p: CRF=27, maxrate=940999.9999999999
[AI인코딩] segment_14 480p: CRF=27, maxrate=940999.9999999999
[AI인코딩] segment_14 720p: CRF=27, maxrate=940999.9999999999
[AI인코딩] segment_14 1080p: CRF=27, maxrate=940999.9999999999
[AI인코딩] segment_15 360p: CRF=28, maxrate=808999.9999999998
[AI인코딩] segment_15 480p: CRF=28, maxrate=808999.9999999998
[AI인코딩] segment_15 720p: CRF=28, maxrate=808999.9999999998
[AI인코딩] segment_15 1080p: CRF=28, maxrate=808999.9999999998
[AI인코딩] segment_16 360p: CRF=29, maxrate=1145999.9999999998
[AI인코딩] segment_16 480p: CRF=29, maxrate=1145999.9999999998
[AI인코딩] segment_16 720p: CRF=29, maxrate=1145999.9999999998
[AI인코딩] segment_16 1080p: CRF=29, maxrate=1145999.9999999998
[AI인코딩] segment_17 360p: CRF=27, maxrate=931999.9999999998
[AI인코딩] segment_17 480p: CRF=27, maxrate=931999.9999999998
[AI인코딩] segment_17 720p: CRF=27, maxrate=931999.9999999998
[AI인코딩] segment_17 1080p: CRF=27, maxrate=931999.9999999998
[AI인코딩] segment_18 360p: CRF=28, maxrate=1055999.9999999998
[AI인코딩] segment_18 480p: CRF=28, maxrate=1055999.9999999998
[AI인코딩] segment_18 720p: CRF=28, maxrate=1055999.9999999998
[AI인코딩] segment_18 1080p: CRF=28, maxrate=1055999.9999999998
=== [Sports] 영상 인코딩 시작 ===[AI인코딩] segment_0 360p: CRF=31, maxrate=2630999.999999998
[AI인코딩] segment_0 480p: CRF=31, maxrate=2630999.999999998
[AI인코딩] segment_0 720p: CRF=31, maxrate=2630999.999999998
[AI인코딩] segment_0 1080p: CRF=31, maxrate=2630999.999999998
[AI인코딩] segment_1 360p: CRF=31, maxrate=2331000.0000000005
[AI인코딩] segment_1 480p: CRF=31, maxrate=2331000.0000000005
[AI인코딩] segment_1 720p: CRF=31, maxrate=2331000.0000000005
[AI인코딩] segment_1 1080p: CRF=31, maxrate=2331000.0000000005
[AI인코딩] segment_2 360p: CRF=31, maxrate=2392000.000000001
[AI인코딩] segment_2 480p: CRF=31, maxrate=2392000.000000001
[AI인코딩] segment_2 720p: CRF=31, maxrate=2392000.000000001
[AI인코딩] segment_2 1080p: CRF=31, maxrate=2392000.000000001
[AI인코딩] segment_3 360p: CRF=31, maxrate=2394000.0000000005
[AI인코딩] segment_3 480p: CRF=31, maxrate=2394000.0000000005
[AI인코딩] segment_3 720p: CRF=31, maxrate=2394000.0000000005
[AI인코딩] segment_3 1080p: CRF=31, maxrate=2394000.0000000005
[AI인코딩] segment_4 360p: CRF=30, maxrate=890999.9999999998
[AI인코딩] segment_4 480p: CRF=30, maxrate=890999.9999999998
[AI인코딩] segment_4 720p: CRF=30, maxrate=890999.9999999998
[AI인코딩] segment_4 1080p: CRF=30, maxrate=890999.9999999998
[AI인코딩] segment_5 360p: CRF=31, maxrate=2371000.0000000005
[AI인코딩] segment_5 480p: CRF=31, maxrate=2371000.0000000005
[AI인코딩] segment_5 720p: CRF=31, maxrate=2371000.0000000005
[AI인코딩] segment_5 1080p: CRF=31, maxrate=2371000.0000000005
[AI인코딩] segment_6 360p: CRF=31, maxrate=2916999.9999999963
[AI인코딩] segment_6 480p: CRF=31, maxrate=2916999.9999999963
[AI인코딩] segment_6 720p: CRF=31, maxrate=2916999.9999999963
[AI인코딩] segment_6 1080p: CRF=31, maxrate=2916999.9999999963
[AI인코딩] segment_7 360p: CRF=31, maxrate=2598999.9999999977
[AI인코딩] segment_7 480p: CRF=31, maxrate=2598999.9999999977
[AI인코딩] segment_7 720p: CRF=31, maxrate=2598999.9999999977
[AI인코딩] segment_7 1080p: CRF=31, maxrate=2598999.9999999977
[AI인코딩] segment_8 360p: CRF=31, maxrate=2413999.999999999
[AI인코딩] segment_8 480p: CRF=31, maxrate=2413999.999999999
[AI인코딩] segment_8 720p: CRF=31, maxrate=2413999.999999999
[AI인코딩] segment_8 1080p: CRF=31, maxrate=2413999.999999999
[AI인코딩] segment_9 360p: CRF=31, maxrate=2361999.9999999995
[AI인코딩] segment_9 480p: CRF=31, maxrate=2361999.9999999995
[AI인코딩] segment_9 720p: CRF=31, maxrate=2361999.9999999995
[AI인코딩] segment_9 1080p: CRF=31, maxrate=2361999.9999999995
[AI인코딩] segment_10 360p: CRF=30, maxrate=808999.9999999998
[AI인코딩] segment_10 480p: CRF=30, maxrate=808999.9999999998
[AI인코딩] segment_10 720p: CRF=30, maxrate=808999.9999999998
[AI인코딩] segment_10 1080p: CRF=30, maxrate=808999.9999999998
[AI인코딩] segment_11 360p: CRF=30, maxrate=2395000.0
[AI인코딩] segment_11 480p: CRF=30, maxrate=2395000.0
[AI인코딩] segment_11 720p: CRF=30, maxrate=2395000.0
[AI인코딩] segment_11 1080p: CRF=30, maxrate=2395000.0
[AI인코딩] segment_12 360p: CRF=31, maxrate=2464999.999999999
[AI인코딩] segment_12 480p: CRF=31, maxrate=2464999.999999999
[AI인코딩] segment_12 720p: CRF=31, maxrate=2464999.999999999
[AI인코딩] segment_12 1080p: CRF=31, maxrate=2464999.999999999
[AI인코딩] segment_13 360p: CRF=30, maxrate=2356000.0000000005
[AI인코딩] segment_13 480p: CRF=30, maxrate=2356000.0000000005
[AI인코딩] segment_13 720p: CRF=30, maxrate=2356000.0000000005
[AI인코딩] segment_13 1080p: CRF=30, maxrate=2356000.0000000005
[AI인코딩] segment_14 360p: CRF=30, maxrate=2400000.0
