segment_name,time_second,bitrate_kbps,resolution
ai_seg_15_1080p.mp4,0,2110.3,1080p
ai_seg_15_360p.mp4,0,323.05,360p
ai_seg_15_480p.mp4,0,507.28,480p
ai_seg_15_720p.mp4,0,1029.42,720p
ai_seg_15_1080p.mp4,1,894.2,1080p
ai_seg_15_360p.mp4,1,157.74,360p
ai_seg_15_480p.mp4,1,232.25,480p
ai_seg_15_720p.mp4,1,464.62,720p
ai_seg_16_1080p.mp4,0,1283.08,1080p
ai_seg_16_360p.mp4,0,217.6,360p
ai_seg_16_480p.mp4,0,344.44,480p
ai_seg_16_720p.mp4,0,651.61,720p
ai_seg_16_1080p.mp4,1,671.55,1080p
ai_seg_16_360p.mp4,1,174.87,360p
ai_seg_16_480p.mp4,1,230.78,480p
ai_seg_16_720p.mp4,1,382.03,720p
ai_seg_17_1080p.mp4,0,806.58,1080p
ai_seg_17_360p.mp4,0,195.51,360p
ai_seg_17_480p.mp4,0,280.58,480p
ai_seg_17_720p.mp4,0,451.68,720p
ai_seg_17_1080p.mp4,1,2184.66,1080p
ai_seg_17_360p.mp4,1,375.74,360p
ai_seg_17_480p.mp4,1,583.63,480p
ai_seg_17_720p.mp4,1,1111.83,720p
ai_seg_18_1080p.mp4,0,2119.95,1080p
ai_seg_18_360p.mp4,0,412.21,360p
ai_seg_18_480p.mp4,0,661.1,480p
ai_seg_18_720p.mp4,0,1182.07,720p
ai_seg_18_1080p.mp4,1,2027.3,1080p
ai_seg_18_360p.mp4,1,335.11,360p
ai_seg_18_480p.mp4,1,539.14,480p
ai_seg_18_720p.mp4,1,1061.17,720p
ai_seg_19_1080p.mp4,0,2071.11,1080p
ai_seg_19_360p.mp4,0,408.45,360p
ai_seg_19_480p.mp4,0,664.0,480p
ai_seg_19_720p.mp4,0,1180.0,720p
ai_seg_19_1080p.mp4,1,1874.82,1080p
ai_seg_19_360p.mp4,1,315.77,360p
ai_seg_19_480p.mp4,1,501.71,480p
ai_seg_19_720p.mp4,1,957.67,720p
ai_seg_20_1080p.mp4,0,2033.65,1080p
ai_seg_20_360p.mp4,0,386.14,360p
ai_seg_20_480p.mp4,0,633.82,480p
ai_seg_20_720p.mp4,0,1146.03,720p
ai_seg_20_1080p.mp4,1,1782.02,1080p
ai_seg_20_360p.mp4,1,316.05,360p
ai_seg_20_480p.mp4,1,493.7,480p
ai_seg_20_720p.mp4,1,924.31,720p
ai_seg_21_1080p.mp4,0,2222.84,1080p
ai_seg_21_360p.mp4,0,411.37,360p
ai_seg_21_480p.mp4,0,660.0,480p
ai_seg_21_720p.mp4,0,1208.62,720p
ai_seg_21_1080p.mp4,1,1641.5,1080p
ai_seg_21_360p.mp4,1,339.45,360p
ai_seg_21_480p.mp4,1,495.43,480p
ai_seg_21_720p.mp4,1,898.35,720p
ai_seg_22_1080p.mp4,0,1665.06,1080p
ai_seg_22_360p.mp4,0,314.57,360p
ai_seg_22_480p.mp4,0,517.29,480p
ai_seg_22_720p.mp4,0,903.94,720p
ai_seg_22_1080p.mp4,1,915.52,1080p
ai_seg_22_360p.mp4,1,193.86,360p
ai_seg_22_480p.mp4,1,261.62,480p
ai_seg_22_720p.mp4,1,473.54,720p
ai_seg_23_1080p.mp4,0,1225.92,1080p
ai_seg_23_360p.mp4,0,240.46,360p
ai_seg_23_480p.mp4,0,386.86,480p
ai_seg_23_720p.mp4,0,686.13,720p
ai_seg_23_1080p.mp4,1,987.6,1080p
ai_seg_23_360p.mp4,1,204.82,360p
ai_seg_23_480p.mp4,1,289.93,480p
ai_seg_23_720p.mp4,1,528.93,720p
ai_seg_24_1080p.mp4,0,943.78,1080p
ai_seg_24_360p.mp4,0,215.31,360p
ai_seg_24_480p.mp4,0,313.36,480p
ai_seg_24_720p.mp4,0,533.7,720p
ai_seg_24_1080p.mp4,1,833.38,1080p
ai_seg_24_360p.mp4,1,160.21,360p
ai_seg_24_480p.mp4,1,236.66,480p
ai_seg_24_720p.mp4,1,429.12,720p
ai_seg_25_1080p.mp4,0,1509.52,1080p
ai_seg_25_360p.mp4,0,269.62,360p
ai_seg_25_480p.mp4,0,429.57,480p
ai_seg_25_720p.mp4,0,839.04,720p
ai_seg_25_1080p.mp4,1,1079.66,1080p
ai_seg_25_360p.mp4,1,216.79,360p
ai_seg_25_480p.mp4,1,322.41,480p
ai_seg_25_720p.mp4,1,598.91,720p
ai_seg_26_1080p.mp4,0,1207.26,1080p
ai_seg_26_360p.mp4,0,231.34,360p
ai_seg_26_480p.mp4,0,351.61,480p
ai_seg_26_720p.mp4,0,614.18,720p
ai_seg_26_1080p.mp4,1,1302.61,1080p
ai_seg_26_360p.mp4,1,275.19,360p
ai_seg_26_480p.mp4,1,410.78,480p
ai_seg_26_720p.mp4,1,742.82,720p
ai_seg_27_1080p.mp4,0,1346.02,1080p
ai_seg_27_360p.mp4,0,279.82,360p
ai_seg_27_480p.mp4,0,399.77,480p
ai_seg_27_720p.mp4,0,743.15,720p
ai_seg_27_1080p.mp4,1,1235.98,1080p
ai_seg_27_360p.mp4,1,234.98,360p
ai_seg_27_480p.mp4,1,377.73,480p
ai_seg_27_720p.mp4,1,668.87,720p
ai_seg_28_1080p.mp4,0,1356.27,1080p
ai_seg_28_360p.mp4,0,249.39,360p
ai_seg_28_480p.mp4,0,400.3,480p
ai_seg_28_720p.mp4,0,764.9,720p
ai_seg_28_1080p.mp4,1,1253.34,1080p
ai_seg_28_360p.mp4,1,223.12,360p
ai_seg_28_480p.mp4,1,337.03,480p
ai_seg_28_720p.mp4,1,635.08,720p
ai_seg_29_1080p.mp4,0,1257.92,1080p
ai_seg_29_360p.mp4,0,249.43,360p
ai_seg_29_480p.mp4,0,386.26,480p
ai_seg_29_720p.mp4,0,716.1,720p
ai_seg_29_1080p.mp4,1,825.31,1080p
ai_seg_29_360p.mp4,1,149.04,360p
ai_seg_29_480p.mp4,1,228.07,480p
ai_seg_29_720p.mp4,1,424.79,720p
ai_seg_30_1080p.mp4,0,962.01,1080p
ai_seg_30_360p.mp4,0,192.92,360p
ai_seg_30_480p.mp4,0,314.53,480p
ai_seg_30_720p.mp4,0,540.24,720p
ai_seg_30_1080p.mp4,1,633.46,1080p
ai_seg_30_360p.mp4,1,129.48,360p
ai_seg_30_480p.mp4,1,193.46,480p
ai_seg_30_720p.mp4,1,349.62,720p
ai_seg_31_1080p.mp4,0,1873.57,1080p
ai_seg_31_360p.mp4,0,301.26,360p
ai_seg_31_480p.mp4,0,517.31,480p
ai_seg_31_720p.mp4,0,860.09,720p
ai_seg_31_1080p.mp4,1,1844.04,1080p
ai_seg_31_360p.mp4,1,322.48,360p
ai_seg_31_480p.mp4,1,515.11,480p
ai_seg_31_720p.mp4,1,962.07,720p
ai_seg_32_1080p.mp4,0,2116.75,1080p
ai_seg_32_360p.mp4,0,377.7,360p
ai_seg_32_480p.mp4,0,624.61,480p
ai_seg_32_720p.mp4,0,1162.26,720p
ai_seg_32_1080p.mp4,1,1755.84,1080p
ai_seg_32_360p.mp4,1,296.77,360p
ai_seg_32_480p.mp4,1,480.06,480p
ai_seg_32_720p.mp4,1,926.55,720p
ai_seg_33_1080p.mp4,0,1930.27,1080p
ai_seg_33_360p.mp4,0,354.51,360p
ai_seg_33_480p.mp4,0,571.28,480p
ai_seg_33_720p.mp4,0,1077.62,720p
ai_seg_33_1080p.mp4,1,1830.89,1080p
ai_seg_33_360p.mp4,1,289.29,360p
ai_seg_33_480p.mp4,1,472.27,480p
ai_seg_33_720p.mp4,1,933.39,720p
ai_seg_34_1080p.mp4,0,1731.82,1080p
ai_seg_34_360p.mp4,0,311.14,360p
ai_seg_34_480p.mp4,0,499.82,480p
ai_seg_34_720p.mp4,0,955.23,720p
ai_seg_34_1080p.mp4,1,726.02,1080p
ai_seg_34_360p.mp4,1,148.04,360p
ai_seg_34_480p.mp4,1,227.36,480p
ai_seg_34_720p.mp4,1,388.32,720p
ai_seg_35_1080p.mp4,0,1396.98,1080p
ai_seg_35_360p.mp4,0,245.37,360p
ai_seg_35_480p.mp4,0,372.14,480p
ai_seg_35_720p.mp4,0,777.86,720p
ai_seg_35_1080p.mp4,1,1039.74,1080p
ai_seg_35_360p.mp4,1,206.94,360p
ai_seg_35_480p.mp4,1,325.01,480p
ai_seg_35_720p.mp4,1,586.33,720p
ai_seg_36_1080p.mp4,0,1412.15,1080p
ai_seg_36_360p.mp4,0,282.31,360p
ai_seg_36_480p.mp4,0,406.58,480p
ai_seg_36_720p.mp4,0,755.03,720p
ai_seg_36_1080p.mp4,1,1063.8,1080p
ai_seg_36_360p.mp4,1,224.86,360p
ai_seg_36_480p.mp4,1,334.02,480p
ai_seg_36_720p.mp4,1,586.3,720p
ai_seg_37_1080p.mp4,0,2112.08,1080p
ai_seg_37_360p.mp4,0,367.01,360p
ai_seg_37_480p.mp4,0,604.6,480p
ai_seg_37_720p.mp4,0,1136.39,720p
ai_seg_37_1080p.mp4,1,1842.55,1080p
ai_seg_37_360p.mp4,1,313.7,360p
ai_seg_37_480p.mp4,1,498.36,480p
ai_seg_37_720p.mp4,1,978.37,720p
ai_seg_38_1080p.mp4,0,1999.61,1080p
ai_seg_38_360p.mp4,0,397.86,360p
ai_seg_38_480p.mp4,0,623.14,480p
ai_seg_38_720p.mp4,0,1101.3,720p
ai_seg_38_1080p.mp4,1,1861.62,1080p
ai_seg_38_360p.mp4,1,302.82,360p
ai_seg_38_480p.mp4,1,482.96,480p
ai_seg_38_720p.mp4,1,948.66,720p
ai_seg_39_1080p.mp4,0,1910.58,1080p
ai_seg_39_360p.mp4,0,387.96,360p
ai_seg_39_480p.mp4,0,593.42,480p
ai_seg_39_720p.mp4,0,1052.9,720p
ai_seg_39_1080p.mp4,1,1660.54,1080p
ai_seg_39_360p.mp4,1,281.53,360p
ai_seg_39_480p.mp4,1,451.08,480p
ai_seg_39_720p.mp4,1,846.39,720p
ai_seg_40_1080p.mp4,0,2191.98,1080p
ai_seg_40_360p.mp4,0,387.42,360p
ai_seg_40_480p.mp4,0,646.42,480p
ai_seg_40_720p.mp4,0,1233.25,720p
ai_seg_40_1080p.mp4,1,1819.82,1080p
ai_seg_40_360p.mp4,1,318.39,360p
ai_seg_40_480p.mp4,1,533.53,480p
ai_seg_40_720p.mp4,1,997.89,720p
ai_seg_41_1080p.mp4,0,1891.29,1080p
ai_seg_41_360p.mp4,0,282.22,360p
ai_seg_41_480p.mp4,0,447.94,480p
ai_seg_41_720p.mp4,0,934.99,720p
ai_seg_41_1080p.mp4,1,1047.98,1080p
ai_seg_41_360p.mp4,1,193.54,360p
ai_seg_41_480p.mp4,1,287.24,480p
ai_seg_41_720p.mp4,1,542.75,720p
ai_seg_42_1080p.mp4,0,1060.19,1080p
ai_seg_42_360p.mp4,0,219.86,360p
ai_seg_42_480p.mp4,0,329.87,480p
ai_seg_42_720p.mp4,0,571.11,720p
ai_seg_42_1080p.mp4,1,955.27,1080p
ai_seg_42_360p.mp4,1,198.87,360p
ai_seg_42_480p.mp4,1,290.66,480p
ai_seg_42_720p.mp4,1,516.7,720p
ai_seg_43_1080p.mp4,0,930.68,1080p
ai_seg_43_360p.mp4,0,226.38,360p
ai_seg_43_480p.mp4,0,321.97,480p
ai_seg_43_720p.mp4,0,561.61,720p
ai_seg_43_1080p.mp4,1,976.12,1080p
ai_seg_43_360p.mp4,1,183.65,360p
ai_seg_43_480p.mp4,1,286.35,480p
ai_seg_43_720p.mp4,1,505.83,720p
ai_seg_44_1080p.mp4,0,1136.18,1080p
ai_seg_44_360p.mp4,0,222.22,360p
ai_seg_44_480p.mp4,0,355.23,480p
ai_seg_44_720p.mp4,0,669.53,720p
ai_seg_44_1080p.mp4,1,1306.39,1080p
ai_seg_44_360p.mp4,1,238.82,360p
ai_seg_44_480p.mp4,1,376.06,480p
ai_seg_44_720p.mp4,1,669.95,720p
ai_seg_45_1080p.mp4,0,1099.74,1080p
ai_seg_45_360p.mp4,0,208.42,360p
ai_seg_45_480p.mp4,0,337.01,480p
ai_seg_45_720p.mp4,0,586.79,720p
ai_seg_45_1080p.mp4,1,666.62,1080p
ai_seg_45_360p.mp4,1,136.91,360p
ai_seg_45_480p.mp4,1,204.07,480p
ai_seg_45_720p.mp4,1,367.48,720p
ai_seg_46_1080p.mp4,0,1326.66,1080p
ai_seg_46_360p.mp4,0,254.42,360p
ai_seg_46_480p.mp4,0,371.98,480p
ai_seg_46_720p.mp4,0,698.08,720p
ai_seg_46_1080p.mp4,1,871.96,1080p
ai_seg_46_360p.mp4,1,179.87,360p
ai_seg_46_480p.mp4,1,272.47,480p
ai_seg_46_720p.mp4,1,465.53,720p
ai_seg_47_1080p.mp4,0,1628.87,1080p
ai_seg_47_360p.mp4,0,288.23,360p
ai_seg_47_480p.mp4,0,453.3,480p
ai_seg_47_720p.mp4,0,902.79,720p
ai_seg_47_1080p.mp4,1,1043.7,1080p
ai_seg_47_360p.mp4,1,205.68,360p
ai_seg_47_480p.mp4,1,299.65,480p
ai_seg_47_720p.mp4,1,531.99,720p
ai_seg_48_1080p.mp4,0,1592.07,1080p
ai_seg_48_360p.mp4,0,305.24,360p
ai_seg_48_480p.mp4,0,475.26,480p
ai_seg_48_720p.mp4,0,890.34,720p
ai_seg_48_1080p.mp4,1,1184.84,1080p
ai_seg_48_360p.mp4,1,213.78,360p
ai_seg_48_480p.mp4,1,324.82,480p
