segment_name,time_second,bitrate_kbps,resolution
ai_seg_14_720p.mp4,1,1403.12,720p
ai_seg_15_1080p.mp4,0,2104.94,1080p
ai_seg_15_360p.mp4,0,446.82,360p
ai_seg_15_480p.mp4,0,662.94,480p
ai_seg_15_720p.mp4,0,1203.22,720p
ai_seg_15_1080p.mp4,1,1949.98,1080p
ai_seg_15_360p.mp4,1,345.1,360p
ai_seg_15_480p.mp4,1,545.26,480p
ai_seg_15_720p.mp4,1,1061.78,720p
ai_seg_16_1080p.mp4,0,2526.66,1080p
ai_seg_16_360p.mp4,0,521.05,360p
ai_seg_16_480p.mp4,0,792.03,480p
ai_seg_16_720p.mp4,0,1456.81,720p
ai_seg_16_1080p.mp4,1,1870.95,1080p
ai_seg_16_360p.mp4,1,327.17,360p
ai_seg_16_480p.mp4,1,521.1,480p
ai_seg_16_720p.mp4,1,1008.54,720p
ai_seg_17_1080p.mp4,0,2615.11,1080p
ai_seg_17_360p.mp4,0,522.23,360p
ai_seg_17_480p.mp4,0,787.0,480p
ai_seg_17_720p.mp4,0,1586.71,720p
ai_seg_17_1080p.mp4,1,2516.6,1080p
ai_seg_17_360p.mp4,1,419.73,360p
ai_seg_17_480p.mp4,1,654.5,480p
ai_seg_17_720p.mp4,1,1341.92,720p
ai_seg_18_1080p.mp4,0,2716.83,1080p
ai_seg_18_360p.mp4,0,518.96,360p
ai_seg_18_480p.mp4,0,794.5,480p
ai_seg_18_720p.mp4,0,1663.03,720p
ai_seg_18_1080p.mp4,1,2147.92,1080p
ai_seg_18_360p.mp4,1,348.37,360p
ai_seg_18_480p.mp4,1,554.11,480p
ai_seg_18_720p.mp4,1,1211.7,720p
ai_seg_19_1080p.mp4,0,2901.63,1080p
ai_seg_19_360p.mp4,0,622.0,360p
ai_seg_19_480p.mp4,0,922.57,480p
ai_seg_19_720p.mp4,0,1816.66,720p
ai_seg_19_1080p.mp4,1,2202.03,1080p
ai_seg_19_360p.mp4,1,412.76,360p
ai_seg_19_480p.mp4,1,644.32,480p
ai_seg_19_720p.mp4,1,1310.98,720p
ai_seg_20_1080p.mp4,0,2558.49,1080p
ai_seg_20_360p.mp4,0,477.17,360p
ai_seg_20_480p.mp4,0,766.29,480p
ai_seg_20_720p.mp4,0,1534.96,720p
ai_seg_20_1080p.mp4,1,2414.94,1080p
ai_seg_20_360p.mp4,1,354.98,360p
ai_seg_20_480p.mp4,1,663.74,480p
ai_seg_20_720p.mp4,1,1354.46,720p
ai_seg_21_1080p.mp4,0,2763.49,1080p
ai_seg_21_360p.mp4,0,595.54,360p
ai_seg_21_480p.mp4,0,908.63,480p
ai_seg_21_720p.mp4,0,1691.54,720p
ai_seg_21_1080p.mp4,1,2257.55,1080p
ai_seg_21_360p.mp4,1,406.14,360p
ai_seg_21_480p.mp4,1,636.07,480p
ai_seg_21_720p.mp4,1,1245.61,720p
ai_seg_22_1080p.mp4,0,2422.38,1080p
ai_seg_22_360p.mp4,0,546.26,360p
ai_seg_22_480p.mp4,0,821.02,480p
ai_seg_22_720p.mp4,0,1490.72,720p
ai_seg_22_1080p.mp4,1,2314.46,1080p
ai_seg_22_360p.mp4,1,409.23,360p
ai_seg_22_480p.mp4,1,652.1,480p
ai_seg_22_720p.mp4,1,1331.64,720p
ai_seg_23_1080p.mp4,0,2934.84,1080p
ai_seg_23_360p.mp4,0,540.32,360p
ai_seg_23_480p.mp4,0,864.22,480p
ai_seg_23_720p.mp4,0,1809.43,720p
ai_seg_23_1080p.mp4,1,2199.58,1080p
ai_seg_23_360p.mp4,1,346.62,360p
ai_seg_23_480p.mp4,1,596.1,480p
ai_seg_23_720p.mp4,1,1241.05,720p
ai_seg_24_1080p.mp4,0,2602.37,1080p
ai_seg_24_360p.mp4,0,495.22,360p
ai_seg_24_480p.mp4,0,819.97,480p
ai_seg_24_720p.mp4,0,1545.81,720p
ai_seg_24_1080p.mp4,1,2204.9,1080p
ai_seg_24_360p.mp4,1,350.46,360p
ai_seg_24_480p.mp4,1,658.06,480p
ai_seg_24_720p.mp4,1,1220.77,720p
ai_seg_25_1080p.mp4,0,2613.45,1080p
ai_seg_25_360p.mp4,0,548.05,360p
ai_seg_25_480p.mp4,0,874.67,480p
ai_seg_25_720p.mp4,0,1507.26,720p
ai_seg_25_1080p.mp4,1,2224.97,1080p
ai_seg_25_360p.mp4,1,360.46,360p
ai_seg_25_480p.mp4,1,670.31,480p
ai_seg_25_720p.mp4,1,1226.36,720p
ai_seg_26_1080p.mp4,0,2619.2,1080p
ai_seg_26_360p.mp4,0,489.11,360p
ai_seg_26_480p.mp4,0,784.5,480p
ai_seg_26_720p.mp4,0,1511.94,720p
ai_seg_26_1080p.mp4,1,1937.79,1080p
ai_seg_26_360p.mp4,1,330.21,360p
ai_seg_26_480p.mp4,1,550.64,480p
ai_seg_26_720p.mp4,1,1080.3,720p
ai_seg_27_1080p.mp4,0,2700.06,1080p
ai_seg_27_360p.mp4,0,551.66,360p
ai_seg_27_480p.mp4,0,901.96,480p
ai_seg_27_720p.mp4,0,1604.51,720p
ai_seg_27_1080p.mp4,1,2467.67,1080p
ai_seg_27_360p.mp4,1,427.89,360p
ai_seg_27_480p.mp4,1,742.31,480p
ai_seg_27_720p.mp4,1,1354.27,720p
ai_seg_28_1080p.mp4,0,2576.14,1080p
ai_seg_28_360p.mp4,0,526.94,360p
ai_seg_28_480p.mp4,0,844.5,480p
ai_seg_28_720p.mp4,0,1542.37,720p
ai_seg_28_1080p.mp4,1,1661.78,1080p
ai_seg_28_360p.mp4,1,313.44,360p
ai_seg_28_480p.mp4,1,510.35,480p
ai_seg_28_720p.mp4,1,905.47,720p
ai_seg_29_1080p.mp4,0,2838.85,1080p
ai_seg_29_360p.mp4,0,600.62,360p
ai_seg_29_480p.mp4,0,948.69,480p
ai_seg_29_720p.mp4,0,1645.75,720p
ai_seg_29_1080p.mp4,1,2324.71,1080p
ai_seg_29_360p.mp4,1,386.82,360p
ai_seg_29_480p.mp4,1,637.64,480p
ai_seg_29_720p.mp4,1,1340.52,720p
ai_seg_30_1080p.mp4,0,2955.74,1080p
ai_seg_30_360p.mp4,0,626.29,360p
ai_seg_30_480p.mp4,0,967.93,480p
ai_seg_30_720p.mp4,0,1789.42,720p
ai_seg_30_1080p.mp4,1,2222.33,1080p
ai_seg_30_360p.mp4,1,375.41,360p
ai_seg_30_480p.mp4,1,622.78,480p
ai_seg_30_720p.mp4,1,1264.24,720p
ai_seg_31_1080p.mp4,0,2562.62,1080p
ai_seg_31_360p.mp4,0,567.97,360p
ai_seg_31_480p.mp4,0,851.45,480p
ai_seg_31_720p.mp4,0,1508.75,720p
ai_seg_31_1080p.mp4,1,2117.22,1080p
ai_seg_31_360p.mp4,1,378.99,360p
ai_seg_31_480p.mp4,1,596.15,480p
ai_seg_31_720p.mp4,1,1087.04,720p
ai_seg_32_1080p.mp4,0,2918.56,1080p
ai_seg_32_360p.mp4,0,557.06,360p
ai_seg_32_480p.mp4,0,926.22,480p
ai_seg_32_720p.mp4,0,1706.34,720p
ai_seg_32_1080p.mp4,1,1226.94,1080p
ai_seg_32_360p.mp4,1,196.93,360p
ai_seg_32_480p.mp4,1,321.96,480p
ai_seg_32_720p.mp4,1,744.29,720p
ai_seg_33_1080p.mp4,0,1833.5,1080p
ai_seg_33_360p.mp4,0,396.66,360p
ai_seg_33_480p.mp4,0,598.79,480p
ai_seg_33_720p.mp4,0,1169.35,720p
ai_seg_33_1080p.mp4,1,1403.31,1080p
ai_seg_33_360p.mp4,1,217.45,360p
ai_seg_33_480p.mp4,1,358.89,480p
ai_seg_33_720p.mp4,1,803.73,720p
ai_seg_34_1080p.mp4,0,2028.35,1080p
ai_seg_34_360p.mp4,0,414.96,360p
ai_seg_34_480p.mp4,0,644.22,480p
ai_seg_34_720p.mp4,0,1250.61,720p
ai_seg_34_1080p.mp4,1,1513.85,1080p
ai_seg_34_360p.mp4,1,240.33,360p
ai_seg_34_480p.mp4,1,397.22,480p
ai_seg_34_720p.mp4,1,831.93,720p
ai_seg_35_1080p.mp4,0,2137.78,1080p
ai_seg_35_360p.mp4,0,438.98,360p
ai_seg_35_480p.mp4,0,681.47,480p
ai_seg_35_720p.mp4,0,1322.46,720p
ai_seg_35_1080p.mp4,1,1657.38,1080p
ai_seg_35_360p.mp4,1,273.91,360p
ai_seg_35_480p.mp4,1,448.3,480p
ai_seg_35_720p.mp4,1,957.76,720p
ai_seg_36_1080p.mp4,0,2524.38,1080p
ai_seg_36_360p.mp4,0,528.65,360p
ai_seg_36_480p.mp4,0,808.56,480p
ai_seg_36_720p.mp4,0,1598.8,720p
ai_seg_36_1080p.mp4,1,1694.38,1080p
ai_seg_36_360p.mp4,1,290.87,360p
ai_seg_36_480p.mp4,1,466.07,480p
ai_seg_36_720p.mp4,1,969.38,720p
ai_seg_37_1080p.mp4,0,2242.27,1080p
ai_seg_37_360p.mp4,0,482.16,360p
ai_seg_37_480p.mp4,0,733.66,480p
ai_seg_37_720p.mp4,0,1435.98,720p
ai_seg_37_1080p.mp4,1,1988.13,1080p
ai_seg_37_360p.mp4,1,365.58,360p
ai_seg_37_480p.mp4,1,572.21,480p
ai_seg_37_720p.mp4,1,1111.02,720p
ai_seg_38_1080p.mp4,0,3015.82,1080p
ai_seg_38_360p.mp4,0,576.74,360p
ai_seg_38_480p.mp4,0,979.11,480p
ai_seg_38_720p.mp4,0,1856.81,720p
ai_seg_38_1080p.mp4,1,2562.46,1080p
ai_seg_38_360p.mp4,1,410.03,360p
ai_seg_38_480p.mp4,1,747.41,480p
ai_seg_38_720p.mp4,1,1432.62,720p
ai_seg_39_1080p.mp4,0,2901.58,1080p
ai_seg_39_360p.mp4,0,567.73,360p
ai_seg_39_480p.mp4,0,945.24,480p
ai_seg_39_720p.mp4,0,1776.21,720p
ai_seg_39_1080p.mp4,1,2309.77,1080p
ai_seg_39_360p.mp4,1,357.07,360p
ai_seg_39_480p.mp4,1,632.98,480p
ai_seg_39_720p.mp4,1,1288.33,720p
ai_seg_40_1080p.mp4,0,3898.63,1080p
ai_seg_40_360p.mp4,0,849.56,360p
ai_seg_40_480p.mp4,0,1298.04,480p
ai_seg_40_720p.mp4,0,2348.15,720p
ai_seg_40_1080p.mp4,1,3318.77,1080p
ai_seg_40_360p.mp4,1,457.78,360p
ai_seg_40_480p.mp4,1,913.46,480p
ai_seg_40_720p.mp4,1,1954.78,720p
ai_seg_41_1080p.mp4,0,3114.17,1080p
ai_seg_41_360p.mp4,0,651.38,360p
ai_seg_41_480p.mp4,0,1043.91,480p
ai_seg_41_720p.mp4,0,1964.51,720p
ai_seg_41_1080p.mp4,1,2656.06,1080p
ai_seg_41_360p.mp4,1,468.2,360p
ai_seg_41_480p.mp4,1,798.3,480p
ai_seg_41_720p.mp4,1,1514.17,720p
ai_seg_42_1080p.mp4,0,2610.81,1080p
ai_seg_42_360p.mp4,0,573.67,360p
ai_seg_42_480p.mp4,0,874.28,480p
ai_seg_42_720p.mp4,0,1693.25,720p
ai_seg_42_1080p.mp4,1,1974.57,1080p
ai_seg_42_360p.mp4,1,319.26,360p
ai_seg_42_480p.mp4,1,527.06,480p
ai_seg_42_720p.mp4,1,1155.3,720p
ai_seg_43_1080p.mp4,0,2767.02,1080p
ai_seg_43_360p.mp4,0,557.24,360p
ai_seg_43_480p.mp4,0,866.49,480p
ai_seg_43_720p.mp4,0,1692.63,720p
ai_seg_43_1080p.mp4,1,1375.62,1080p
ai_seg_43_360p.mp4,1,215.34,360p
ai_seg_43_480p.mp4,1,332.24,480p
ai_seg_43_720p.mp4,1,746.72,720p
ai_seg_44_1080p.mp4,0,2353.02,1080p
ai_seg_44_360p.mp4,0,498.89,360p
ai_seg_44_480p.mp4,0,760.0,480p
ai_seg_44_720p.mp4,0,1512.92,720p
ai_seg_44_1080p.mp4,1,2292.54,1080p
ai_seg_44_360p.mp4,1,417.35,360p
ai_seg_44_480p.mp4,1,650.94,480p
ai_seg_44_720p.mp4,1,1320.15,720p
ai_seg_45_1080p.mp4,0,3033.18,1080p
ai_seg_45_360p.mp4,0,600.52,360p
ai_seg_45_480p.mp4,0,964.64,480p
ai_seg_45_720p.mp4,0,1913.5,720p
ai_seg_45_1080p.mp4,1,1983.57,1080p
ai_seg_45_360p.mp4,1,325.04,360p
ai_seg_45_480p.mp4,1,532.43,480p
ai_seg_45_720p.mp4,1,1097.64,720p
ai_seg_46_1080p.mp4,0,2926.92,1080p
ai_seg_46_360p.mp4,0,626.42,360p
ai_seg_46_480p.mp4,0,955.64,480p
ai_seg_46_720p.mp4,0,1752.15,720p
ai_seg_46_1080p.mp4,1,2586.07,1080p
ai_seg_46_360p.mp4,1,466.06,360p
ai_seg_46_480p.mp4,1,689.14,480p
ai_seg_46_720p.mp4,1,1428.46,720p
ai_seg_47_1080p.mp4,0,3143.27,1080p
ai_seg_47_360p.mp4,0,593.03,360p
ai_seg_47_480p.mp4,0,965.91,480p
ai_seg_47_720p.mp4,0,1916.47,720p
ai_seg_47_1080p.mp4,1,2618.66,1080p
ai_seg_47_360p.mp4,1,445.17,360p
ai_seg_47_480p.mp4,1,741.0,480p
ai_seg_47_720p.mp4,1,1481.54,720p
ai_seg_48_1080p.mp4,0,2336.7,1080p
ai_seg_48_360p.mp4,0,525.87,360p
ai_seg_48_480p.mp4,0,782.84,480p
ai_seg_48_720p.mp4,0,1366.92,720p
ai_seg_48_1080p.mp4,1,2382.2,1080p
ai_seg_48_360p.mp4,1,421.24,360p
ai_seg_48_480p.mp4,1,664.31,480p
ai_seg_48_720p.mp4,1,1295.51,720p
ai_seg_49_1080p.mp4,0,3579.69,1080p
ai_seg_49_360p.mp4,0,676.75,360p
ai_seg_49_480p.mp4,0,1140.7,480p
ai_seg_49_720p.mp4,0,2123.22,720p
ai_seg_49_1080p.mp4,1,2812.68,1080p
ai_seg_49_360p.mp4,1,471.38,360p
ai_seg_49_480p.mp4,1,799.21,480p
ai_seg_49_720p.mp4,1,1585.68,720p
